local,value,latitude,longitude
2017-09-14,17.94,,
2017-09-15,34.07064516129032,,
2017-09-16,40.89043478260871,,
2017-09-17,39.24000000000001,,
2017-09-18,38.91952380952381,,
2017-09-19,35.257999999999996,,
2017-09-20,65.28962962962963,,
2017-09-21,28.855,,
2017-09-22,,,
2017-09-23,,,
2017-09-24,,,
2017-09-25,42.238305084745775,,
2017-09-26,48.50180722891565,,
2017-09-27,62.19854838709681,,
2017-09-28,54.36729166666665,,
2017-09-29,48.71650793650794,,
2017-09-30,62.781093750000004,,
2017-10-01,,,
2017-10-02,44.462,,
2017-10-03,52.33807692307694,,
2017-10-04,51.82938271604937,,
2017-10-05,30.399090909090905,,
2017-10-06,35.27772151898735,,
2017-10-07,57.38616279069766,,
2017-10-08,75.26352941176468,,
2017-10-09,66.03296296296297,,
2017-10-10,76.62160493827162,,
2017-10-11,79.4423170731707,,
2017-10-12,97.15389610389609,,
2017-10-13,86.99428571428572,,
2017-10-14,91.79463768115947,,
2017-10-15,95.05392857142856,,
2017-10-16,91.20896551724138,,
2017-10-17,120.17888888888886,,
2017-10-18,121.18775000000002,,
2017-10-19,195.25733333333332,,
2017-10-20,129.94,,
2017-10-21,128.6057142857143,,
2017-10-22,108.49133333333334,,
2017-10-23,112.05166666666668,,
2017-10-24,135.85692307692307,,
2017-10-25,132.59666666666666,,
2017-10-26,104.47857142857143,,
2017-10-27,134.64857142857144,,
2017-10-28,146.82500000000002,,
2017-10-29,,,
2017-10-30,,,
2017-10-31,,,
2017-11-01,111.64333333333333,,
2017-11-02,113.28,,
2017-11-03,,,
2017-11-04,83.93,,
2017-11-05,,,
2017-11-06,145.77,,
2017-11-07,238.43,,
2017-11-08,535.9378571428572,,
2017-11-09,368.43083333333334,,
2017-11-10,229.56599999999997,,
2017-11-11,289.49499999999995,,
2017-11-12,349.0804166666667,,
2017-11-13,253.99500000000003,,
2017-11-14,183.04,,
2017-11-15,144.16479999999999,,
2017-11-16,135.22291666666666,,
2017-11-17,104.28083333333335,,
2017-11-18,93.82375000000002,,
2017-11-19,82.36066666666666,,
2017-11-20,118.0759090909091,,
2017-11-21,130.1020833333333,,
2017-11-22,121.50333333333332,,
2017-11-23,117.01083333333332,,
2017-11-24,127.9825,,
2017-11-25,121.04478260869564,,
2017-11-26,138.75999999999996,,
2017-11-27,136.5582608695652,,
2017-11-28,93.95666666666665,,
2017-11-29,131.23583333333332,,
2017-11-30,147.38541666666666,,
2017-12-01,103.21124999999999,,
2017-12-02,111.27619047619046,,
2017-12-03,124.41578947368424,,
2017-12-04,128.02388888888888,,
2017-12-05,221.7242857142857,,
2017-12-06,51.75636363636364,,
2017-12-07,58.40086956521739,,
2017-12-08,80.52916666666667,,
2017-12-09,121.93999999999998,,
2017-12-10,,,
2017-12-11,87.41062500000001,,
2017-12-12,71.14208333333335,,
2017-12-13,77.84,,
2017-12-14,,,
2017-12-15,69.90090909090908,,
2017-12-16,71.03956521739129,,
2017-12-17,59.9935294117647,,
2017-12-18,86.5711111111111,,
2017-12-19,112.4425,,
2017-12-20,135.074,,
2017-12-21,,,
2017-12-22,72.060625,,
2017-12-23,56.4375,,
2017-12-24,126.06049999999998,,
2017-12-25,171.0126315789474,,
2017-12-26,147.7504761904762,,
2017-12-27,150.7558333333333,,
2017-12-28,140.81565217391304,,
2017-12-29,172.7934782608696,,
2017-12-30,182.89083333333335,,
2017-12-31,195.13708333333332,,
